Date,Close
2/22/2021 16:00:00,49.96
2/23/2021 16:00:00,45.24
2/24/2021 16:00:00,46.14
2/25/2021 16:00:00,43.8
2/26/2021 16:00:00,44.32
3/1/2021 16:00:00,47.08
3/2/2021 16:00:00,46.56
3/3/2021 16:00:00,44.21
3/4/2021 16:00:00,39.07
3/5/2021 16:00:00,39.92
3/8/2021 16:00:00,39.41
3/9/2021 16:00:00,43.59
3/10/2021 16:00:00,43.13
3/11/2021 16:00:00,47.04
3/12/2021 16:00:00,46.01
3/15/2021 16:00:00,48.53
3/16/2021 16:00:00,46.23
3/17/2021 16:00:00,47.24
3/18/2021 16:00:00,45.37
3/19/2021 16:00:00,43.59
3/22/2021 16:00:00,42.98
3/23/2021 16:00:00,42.03
3/24/2021 16:00:00,38.1
3/25/2021 16:00:00,40.78
3/26/2021 16:00:00,41.81
3/29/2021 16:00:00,43.47
3/30/2021 16:00:00,44.47
3/31/2021 16:00:00,45.37
4/1/2021 16:00:00,46.86
4/5/2021 16:00:00,49.39
4/6/2021 16:00:00,48.74
4/7/2021 16:00:00,46.87
4/8/2021 16:00:00,46.81
4/9/2021 16:00:00,47.18
4/12/2021 16:00:00,47.36
4/13/2021 16:00:00,47.83
4/14/2021 16:00:00,46.7
4/15/2021 16:00:00,47.34
4/16/2021 16:00:00,47.69
4/19/2021 16:00:00,45.95
4/20/2021 16:00:00,44.35
4/21/2021 16:00:00,45.25
4/22/2021 16:00:00,45.84
4/23/2021 16:00:00,48.67
4/26/2021 16:00:00,49.71
4/27/2021 16:00:00,48.36
4/28/2021 16:00:00,49.36
4/29/2021 16:00:00,49.95
4/30/2021 16:00:00,50.15
5/3/2021 16:00:00,48.25
5/4/2021 16:00:00,46.21
5/5/2021 16:00:00,45.05
5/6/2021 16:00:00,41.09
5/7/2021 16:00:00,44.58
5/10/2021 16:00:00,42.66
5/11/2021 16:00:00,41.49
5/12/2021 16:00:00,40.83
5/13/2021 16:00:00,38.61
5/14/2021 16:00:00,42.51
5/17/2021 16:00:00,42.13
5/18/2021 16:00:00,44.01
5/19/2021 16:00:00,44.1
5/20/2021 16:00:00,45.37
5/21/2021 16:00:00,45.05
5/24/2021 16:00:00,45.78
5/25/2021 16:00:00,46.6
5/26/2021 16:00:00,48.72
5/27/2021 16:00:00,51.07
5/28/2021 16:00:00,50.49
6/1/2021 16:00:00,51.05
6/2/2021 16:00:00,51.51
6/3/2021 16:00:00,50.08
6/4/2021 16:00:00,51.02
6/7/2021 16:00:00,52.17
6/8/2021 16:00:00,52.84
6/9/2021 16:00:00,52.52
6/10/2021 16:00:00,53.44
6/11/2021 16:00:00,53.88
6/14/2021 16:00:00,53.19
6/15/2021 16:00:00,52.76
6/16/2021 16:00:00,53.38
6/17/2021 16:00:00,53.35
6/18/2021 16:00:00,52.89
6/21/2021 16:00:00,53.6
6/22/2021 16:00:00,54.31
6/23/2021 16:00:00,54.13
6/24/2021 16:00:00,53.02
6/25/2021 16:00:00,52.91
6/28/2021 16:00:00,53.95
6/29/2021 16:00:00,55
6/30/2021 16:00:00,54.31
7/1/2021 16:00:00,54.36
7/2/2021 16:00:00,54.39
7/6/2021 16:00:00,54.56
7/7/2021 16:00:00,52.91
7/8/2021 16:00:00,52.36
7/9/2021 16:00:00,53.96
7/12/2021 16:00:00,54.2
7/13/2021 16:00:00,53.29
7/14/2021 16:00:00,50.18
7/15/2021 16:00:00,47.22
7/16/2021 16:00:00,46
7/19/2021 16:00:00,45.8
7/20/2021 16:00:00,48.39
7/21/2021 16:00:00,49.99
7/22/2021 16:00:00,48.96
7/23/2021 16:00:00,48.94
7/26/2021 16:00:00,48.2
7/27/2021 16:00:00,47.28
7/28/2021 16:00:00,47.51
7/29/2021 16:00:00,47.27
7/30/2021 16:00:00,46.81
8/2/2021 16:00:00,47.76
8/3/2021 16:00:00,48.22
8/4/2021 16:00:00,47.42
8/5/2021 16:00:00,48.56
8/6/2021 16:00:00,48.81
8/9/2021 16:00:00,48.6
8/10/2021 16:00:00,45.68
8/11/2021 16:00:00,44.71
8/12/2021 16:00:00,46.58
8/13/2021 16:00:00,45.05
8/16/2021 16:00:00,43.25
8/17/2021 16:00:00,41.8
