Date,Close
2/22/2021 16:00:00,10.5
2/23/2021 16:00:00,10.4
2/24/2021 16:00:00,10.4
2/25/2021 16:00:00,10.24
2/26/2021 16:00:00,10.21
3/1/2021 16:00:00,10.19
3/2/2021 16:00:00,9.97
3/3/2021 16:00:00,10.12
3/4/2021 16:00:00,9.95
3/5/2021 16:00:00,10.1
3/8/2021 16:00:00,10.11
3/9/2021 16:00:00,10.1
3/10/2021 16:00:00,10.13
3/11/2021 16:00:00,10.14
3/12/2021 16:00:00,10.18
3/15/2021 16:00:00,10.05
3/16/2021 16:00:00,10.12
3/17/2021 16:00:00,10.2
3/18/2021 16:00:00,10.07
3/19/2021 16:00:00,10.06
3/22/2021 16:00:00,10
3/23/2021 16:00:00,9.97
3/24/2021 16:00:00,9.85
3/25/2021 16:00:00,9.84
3/26/2021 16:00:00,9.96
3/29/2021 16:00:00,9.97
3/30/2021 16:00:00,10.21
3/31/2021 16:00:00,10.1
4/1/2021 16:00:00,10.07
4/5/2021 16:00:00,10.02
4/6/2021 16:00:00,10
4/7/2021 16:00:00,9.96
4/8/2021 16:00:00,9.96
4/9/2021 16:00:00,9.98
4/12/2021 16:00:00,9.9
4/13/2021 16:00:00,9.92
4/14/2021 16:00:00,9.98
4/15/2021 16:00:00,9.9
4/16/2021 16:00:00,9.91
4/19/2021 16:00:00,9.89
4/20/2021 16:00:00,9.88
4/21/2021 16:00:00,9.87
4/22/2021 16:00:00,9.88
4/23/2021 16:00:00,9.92
4/26/2021 16:00:00,9.96
4/27/2021 16:00:00,10
4/28/2021 16:00:00,9.98
4/29/2021 16:00:00,9.98
4/30/2021 16:00:00,9.97
5/3/2021 16:00:00,9.92
5/4/2021 16:00:00,9.93
5/5/2021 16:00:00,9.94
5/6/2021 16:00:00,9.93
5/7/2021 16:00:00,10
5/10/2021 16:00:00,9.99
5/11/2021 16:00:00,9.9
5/12/2021 16:00:00,9.91
5/13/2021 16:00:00,9.91
5/14/2021 16:00:00,9.91
5/17/2021 16:00:00,9.9
5/18/2021 16:00:00,9.9
5/19/2021 16:00:00,9.89
5/20/2021 16:00:00,9.9
5/21/2021 16:00:00,9.9
5/24/2021 16:00:00,9.88
5/25/2021 16:00:00,9.89
5/26/2021 16:00:00,9.9
5/27/2021 16:00:00,9.9
5/28/2021 16:00:00,9.93
6/1/2021 16:00:00,9.92
6/2/2021 16:00:00,9.93
6/3/2021 16:00:00,9.91
6/4/2021 16:00:00,9.89
6/7/2021 16:00:00,9.9
6/8/2021 16:00:00,9.9
6/9/2021 16:00:00,9.91
6/10/2021 16:00:00,9.92
6/11/2021 16:00:00,9.92
6/14/2021 16:00:00,9.92
6/15/2021 16:00:00,9.92
6/16/2021 16:00:00,9.92
6/17/2021 16:00:00,9.93
6/18/2021 16:00:00,9.93
6/21/2021 16:00:00,9.93
6/22/2021 16:00:00,9.97
6/23/2021 16:00:00,9.97
6/24/2021 16:00:00,9.94
6/25/2021 16:00:00,9.95
6/28/2021 16:00:00,9.97
6/29/2021 16:00:00,9.96
6/30/2021 16:00:00,9.97
7/1/2021 16:00:00,9.97
7/2/2021 16:00:00,9.97
7/6/2021 16:00:00,9.97
7/7/2021 16:00:00,9.97
7/8/2021 16:00:00,9.97
7/9/2021 16:00:00,9.97
7/12/2021 16:00:00,9.97
7/13/2021 16:00:00,9.97
7/14/2021 16:00:00,9.97
7/15/2021 16:00:00,9.96
7/16/2021 16:00:00,9.97
7/19/2021 16:00:00,9.97
7/20/2021 16:00:00,9.97
7/21/2021 16:00:00,9.96
7/22/2021 16:00:00,9.92
7/23/2021 16:00:00,9.65
7/26/2021 16:00:00,9.62
7/27/2021 16:00:00,8.89
7/28/2021 16:00:00,7.95
7/29/2021 16:00:00,6.99
7/30/2021 16:00:00,6.84
8/2/2021 16:00:00,7.34
8/3/2021 16:00:00,7.21
8/4/2021 16:00:00,7
8/5/2021 16:00:00,7.82
8/6/2021 16:00:00,7.51
8/9/2021 16:00:00,7.46
8/10/2021 16:00:00,7.85
8/11/2021 16:00:00,7.89
8/12/2021 16:00:00,8.31
8/13/2021 16:00:00,8.46
8/16/2021 16:00:00,7.79
8/17/2021 16:00:00,7.7
8/18/2021 16:00:00,7.83
8/19/2021 16:00:00,7.56
8/20/2021 16:00:00,7.26
8/23/2021 16:00:00,7.74
8/24/2021 16:00:00,8.1
8/25/2021 16:00:00,8.03
8/26/2021 16:00:00,8.12
8/27/2021 16:00:00,8.24
8/30/2021 16:00:00,8.58
8/31/2021 16:00:00,8.52
9/1/2021 16:00:00,8.5
9/2/2021 16:00:00,8.67
9/3/2021 16:00:00,8.96
9/7/2021 16:00:00,7.91
9/8/2021 16:00:00,7.47
9/9/2021 16:00:00,7.49
9/10/2021 16:00:00,7.05
9/13/2021 16:00:00,7.19
9/14/2021 16:00:00,7.59
9/15/2021 16:00:00,7.52
9/16/2021 16:00:00,7.84
9/17/2021 16:00:00,8.64
9/20/2021 16:00:00,7.81
9/21/2021 16:00:00,8.08
9/22/2021 16:00:00,8.02
9/23/2021 16:00:00,7.98
9/24/2021 16:00:00,7.99
9/27/2021 16:00:00,7.5
9/28/2021 16:00:00,7.43
9/29/2021 16:00:00,7.39
9/30/2021 16:00:00,7.4
10/1/2021 16:00:00,7.19
10/4/2021 16:00:00,7.13
10/5/2021 16:00:00,6.86
10/6/2021 16:00:00,6.75
10/7/2021 16:00:00,6.63
10/8/2021 16:00:00,6.57
