Date,Close
2/22/2021 16:00:00,10.2
2/23/2021 16:00:00,10.23
2/24/2021 16:00:00,10.34
2/25/2021 16:00:00,10.22
2/26/2021 16:00:00,10.13
3/1/2021 16:00:00,10.05
3/2/2021 16:00:00,9.92
3/3/2021 16:00:00,9.95
3/4/2021 16:00:00,9.85
3/5/2021 16:00:00,10.02
3/8/2021 16:00:00,9.91
3/9/2021 16:00:00,9.89
3/10/2021 16:00:00,9.91
3/11/2021 16:00:00,9.89
3/12/2021 16:00:00,9.9
3/15/2021 16:00:00,9.89
3/16/2021 16:00:00,9.95
3/17/2021 16:00:00,9.86
3/18/2021 16:00:00,9.86
3/19/2021 16:00:00,9.9
3/22/2021 16:00:00,9.85
3/23/2021 16:00:00,9.85
3/24/2021 16:00:00,9.81
3/25/2021 16:00:00,9.74
3/26/2021 16:00:00,9.88
3/29/2021 16:00:00,9.8
3/30/2021 16:00:00,9.81
3/31/2021 16:00:00,9.81
4/1/2021 16:00:00,9.9
4/5/2021 16:00:00,9.93
4/6/2021 16:00:00,9.84
4/7/2021 16:00:00,9.91
4/8/2021 16:00:00,9.89
4/9/2021 16:00:00,9.94
4/12/2021 16:00:00,9.95
4/13/2021 16:00:00,9.94
4/14/2021 16:00:00,10.01
4/15/2021 16:00:00,9.97
4/16/2021 16:00:00,9.95
4/19/2021 16:00:00,9.86
4/20/2021 16:00:00,9.88
4/21/2021 16:00:00,9.88
4/22/2021 16:00:00,9.92
4/23/2021 16:00:00,9.95
4/26/2021 16:00:00,9.86
4/27/2021 16:00:00,9.83
4/28/2021 16:00:00,9.85
4/29/2021 16:00:00,9.87
5/3/2021 16:00:00,9.88
5/4/2021 16:00:00,9.89
5/5/2021 16:00:00,9.89
5/6/2021 16:00:00,9.89
5/7/2021 16:00:00,9.89
5/10/2021 16:00:00,9.88
5/11/2021 16:00:00,9.87
5/12/2021 16:00:00,9.87
5/13/2021 16:00:00,9.87
5/14/2021 16:00:00,9.87
5/17/2021 16:00:00,9.95
5/18/2021 16:00:00,9.95
5/19/2021 16:00:00,9.92
5/20/2021 16:00:00,9.94
5/21/2021 16:00:00,9.95
5/24/2021 16:00:00,9.94
5/25/2021 16:00:00,9.94
5/26/2021 16:00:00,9.95
5/27/2021 16:00:00,9.94
5/28/2021 16:00:00,9.94
6/1/2021 16:00:00,9.95
6/2/2021 16:00:00,9.95
6/3/2021 16:00:00,9.93
6/4/2021 16:00:00,9.96
6/7/2021 16:00:00,9.94
6/8/2021 16:00:00,9.95
6/9/2021 16:00:00,9.96
6/10/2021 16:00:00,9.97
6/11/2021 16:00:00,9.97
6/14/2021 16:00:00,9.96
6/15/2021 16:00:00,9.96
6/16/2021 16:00:00,9.96
6/17/2021 16:00:00,9.96
6/18/2021 16:00:00,9.96
6/21/2021 16:00:00,9.97
6/22/2021 16:00:00,9.99
6/23/2021 16:00:00,9.97
6/24/2021 16:00:00,9.97
6/25/2021 16:00:00,9.97
6/28/2021 16:00:00,9.97
6/29/2021 16:00:00,9.97
6/30/2021 16:00:00,9.96
7/1/2021 16:00:00,10
7/2/2021 16:00:00,10
7/6/2021 16:00:00,9.97
7/7/2021 16:00:00,9.97
7/8/2021 16:00:00,9.99
7/9/2021 16:00:00,9.96
7/12/2021 16:00:00,9.96
7/13/2021 16:00:00,9.99
7/14/2021 16:00:00,10.06
7/15/2021 16:00:00,10.05
7/16/2021 16:00:00,9.98
7/19/2021 16:00:00,9.99
7/20/2021 16:00:00,9.99
7/21/2021 16:00:00,9.99
7/22/2021 16:00:00,10
7/23/2021 16:00:00,10
7/26/2021 16:00:00,9.99
7/27/2021 16:00:00,9.98
7/28/2021 16:00:00,9.96
7/30/2021 16:00:00,9.99
8/2/2021 16:00:00,9.95
8/3/2021 16:00:00,9.97
8/4/2021 16:00:00,9.97
8/5/2021 16:00:00,9.95
8/6/2021 16:00:00,9.99
8/9/2021 16:00:00,9.97
8/10/2021 16:00:00,9.97
8/11/2021 16:00:00,9.99
8/12/2021 16:00:00,9.98
8/13/2021 16:00:00,9.98
8/16/2021 16:00:00,9.98
8/17/2021 16:00:00,10
8/18/2021 16:00:00,9.97
8/19/2021 16:00:00,9.95
8/20/2021 16:00:00,10.05
8/23/2021 16:00:00,10.05
8/24/2021 16:00:00,10
8/25/2021 16:00:00,9.98
8/26/2021 16:00:00,10
8/30/2021 16:00:00,9.98
8/31/2021 16:00:00,10.04
9/1/2021 16:00:00,10.04
9/3/2021 16:00:00,9.98
9/7/2021 16:00:00,9.98
9/8/2021 16:00:00,10
9/9/2021 16:00:00,9.97
9/14/2021 16:00:00,9.97
9/15/2021 16:00:00,9.99
9/16/2021 16:00:00,9.99
9/17/2021 16:00:00,9.99
9/20/2021 16:00:00,9.99
9/21/2021 16:00:00,9.99
9/22/2021 16:00:00,10
9/23/2021 16:00:00,10.01
9/24/2021 16:00:00,10
9/27/2021 16:00:00,10
9/28/2021 16:00:00,9.99
9/29/2021 16:00:00,9.99
9/30/2021 16:00:00,10.06
10/1/2021 16:00:00,10.07
10/4/2021 16:00:00,10.07
10/5/2021 16:00:00,10.07
10/6/2021 16:00:00,10.07
10/7/2021 16:00:00,10.07
10/8/2021 16:00:00,10.08
10/11/2021 16:00:00,10.07
10/12/2021 16:00:00,10.08
10/13/2021 16:00:00,10.09
10/14/2021 16:00:00,10.08
10/15/2021 16:00:00,9.21
10/18/2021 16:00:00,9.46
10/19/2021 16:00:00,9.49
10/20/2021 16:00:00,9.63
10/21/2021 16:00:00,12.8
10/22/2021 16:00:00,9.62
10/25/2021 16:00:00,11.9
10/26/2021 16:00:00,15.84
10/27/2021 16:00:00,15.49
10/28/2021 16:00:00,14.41
10/29/2021 16:00:00,14.14
11/1/2021 16:00:00,13.4
11/2/2021 16:00:00,12.05
11/3/2021 16:00:00,12.36
11/4/2021 16:00:00,17.93
11/5/2021 16:00:00,15.6
11/8/2021 16:00:00,14.85
11/9/2021 16:00:00,14.73
11/10/2021 16:00:00,13.7
11/11/2021 16:00:00,13.43
11/12/2021 16:00:00,13.12
11/15/2021 16:00:00,13.9
11/16/2021 16:00:00,13.44
11/17/2021 16:00:00,13.05
11/18/2021 16:00:00,12.32
11/19/2021 16:00:00,13.09
11/22/2021 16:00:00,13.23
11/23/2021 16:00:00,12.6
11/24/2021 16:00:00,12.13
11/26/2021 13:00:00,11.95
11/29/2021 16:00:00,11.24
11/30/2021 16:00:00,11.88
12/1/2021 16:00:00,11.07
12/2/2021 16:00:00,10.41
12/3/2021 16:00:00,9.47
12/6/2021 16:00:00,9.74
12/7/2021 16:00:00,10.31
12/8/2021 16:00:00,10.87
12/9/2021 16:00:00,10.55
12/10/2021 16:00:00,10.35
12/13/2021 16:00:00,9.95
12/14/2021 16:00:00,10
12/15/2021 16:00:00,9.92
12/16/2021 16:00:00,9.35
12/17/2021 16:00:00,8.62
12/20/2021 16:00:00,8.72
12/21/2021 16:00:00,8.68
12/22/2021 16:00:00,8.38
12/23/2021 16:00:00,7.97
12/27/2021 16:00:00,8.02
12/28/2021 16:00:00,7.91
12/29/2021 16:00:00,7.55
12/30/2021 16:00:00,7.62
12/31/2021 16:00:00,7.41
1/3/2022 16:00:00,7.45
1/4/2022 16:00:00,7.13
1/5/2022 16:00:00,6.92
1/6/2022 16:00:00,6.51
1/7/2022 16:00:00,6.44
1/10/2022 16:00:00,6.4
1/11/2022 16:00:00,6.49
1/12/2022 16:00:00,6.21
1/13/2022 16:00:00,6.06
1/14/2022 16:00:00,5.58
1/18/2022 16:00:00,5.33
1/19/2022 16:00:00,5.38
1/20/2022 16:00:00,5.31
1/21/2022 16:00:00,5.7
1/24/2022 16:00:00,5.7
1/25/2022 16:00:00,5.64
1/26/2022 16:00:00,5.42
1/27/2022 16:00:00,5.31
1/28/2022 16:00:00,5.3
1/31/2022 16:00:00,5.14
2/1/2022 16:00:00,5.33
2/2/2022 16:00:00,2.55
2/3/2022 16:00:00,2.03
2/4/2022 16:00:00,2.44
2/7/2022 16:00:00,2.27
2/8/2022 16:00:00,2.4
2/9/2022 16:00:00,2.33
2/10/2022 16:00:00,2.28
2/11/2022 16:00:00,2.16
2/14/2022 16:00:00,2.13
2/15/2022 16:00:00,2.26
2/16/2022 16:00:00,2.19
2/17/2022 16:00:00,2.05
2/18/2022 16:00:00,1.98
2/22/2022 16:00:00,1.89
2/23/2022 16:00:00,1.81
2/24/2022 16:00:00,1.72
2/25/2022 16:00:00,1.68
2/28/2022 16:00:00,1.88
3/1/2022 16:00:00,2.17
3/2/2022 16:00:00,2.07
3/3/2022 16:00:00,1.87
3/4/2022 16:00:00,1.79
3/7/2022 16:00:00,1.88
3/8/2022 16:00:00,2.04
3/9/2022 16:00:00,1.88
3/10/2022 16:00:00,1.93
3/11/2022 16:00:00,1.79
3/14/2022 16:00:00,1.77
3/15/2022 16:00:00,1.76
3/16/2022 16:00:00,1.8
3/17/2022 16:00:00,1.79
3/18/2022 16:00:00,2.69
3/21/2022 16:00:00,2.98
3/22/2022 16:00:00,3.02
3/23/2022 16:00:00,3.23
3/24/2022 16:00:00,3.18
3/25/2022 16:00:00,2.79
3/28/2022 16:00:00,2.92
3/29/2022 16:00:00,2.72
3/30/2022 16:00:00,2.63
3/31/2022 16:00:00,2.36
4/1/2022 16:00:00,2.31
4/4/2022 16:00:00,2.26
4/5/2022 16:00:00,2.2
4/6/2022 16:00:00,2.1
4/7/2022 16:00:00,1.99
4/8/2022 16:00:00,1.93
4/11/2022 16:00:00,1.91
4/12/2022 16:00:00,2.22
4/13/2022 16:00:00,2.26
4/14/2022 16:00:00,2.07
4/18/2022 16:00:00,1.99
4/19/2022 16:00:00,2.04
4/20/2022 16:00:00,2.54
4/21/2022 16:00:00,3.06
4/22/2022 16:00:00,2.85
4/25/2022 16:00:00,3.92
4/26/2022 16:00:00,3.37
4/27/2022 16:00:00,3.4
4/28/2022 16:00:00,3.53
4/29/2022 16:00:00,5.98
5/2/2022 16:00:00,8.53
5/3/2022 16:00:00,6.62
5/4/2022 16:00:00,7.47
5/5/2022 16:00:00,6.07
5/6/2022 16:00:00,6.14
5/9/2022 16:00:00,5.58
5/10/2022 16:00:00,5.6
5/11/2022 16:00:00,3.2
5/12/2022 16:00:00,2.68
5/13/2022 16:00:00,2.68
5/16/2022 16:00:00,2.88
5/17/2022 16:00:00,3.91
5/18/2022 16:00:00,3.73
5/19/2022 16:00:00,3.8
5/20/2022 16:00:00,5.32
5/23/2022 16:00:00,5.77
5/24/2022 16:00:00,5.26
5/25/2022 16:00:00,6.77
5/26/2022 16:00:00,7.55
5/27/2022 16:00:00,7.71
5/31/2022 16:00:00,6.72
6/1/2022 16:00:00,5.61
6/2/2022 16:00:00,6.63
6/3/2022 16:00:00,6.39
6/6/2022 16:00:00,6.7
6/7/2022 16:00:00,8.55
6/8/2022 16:00:00,9.93
6/9/2022 16:00:00,9.47
6/10/2022 16:00:00,13.2
6/13/2022 16:00:00,15.27
6/14/2022 16:00:00,10.09
